"NSFTV.ID","PC1","PC2","PC3","PC4"
1,-0.0486,0.003,0.0752,-0.0076
3,0.0672,-0.0733,0.0094,-5e-04
4,0.0544,0.0681,-0.0062,-0.0369
5,-0.0073,0.0224,-0.0121,0.2602
6,0.0509,0.0655,-0.0058,-0.0378
7,-0.0293,-0.0027,-0.0677,-0.0085
8,-0.0333,-0.0039,-0.0675,-8e-04
9,-0.0399,0.0042,0.0435,0.0145
10,-0.0503,0.0015,0.0862,-0.012
13,0.0583,0.1075,0,-0.0148
14,-0.0344,-0.0039,-0.0712,-0.0114
16,-0.0037,0.0302,-0.0099,0.2784
17,0.0615,-0.0713,0.0165,-0.0057
18,0.0594,0.0973,0.0054,-1e-04
20,-0.0449,-0.0032,-0.0092,-0.0314
22,-0.0359,-0.0046,-0.0752,-0.0107
23,-0.036,-0.0052,-0.0771,-0.0199
24,-0.0382,-0.0057,-0.0844,-0.0173
25,-0.0369,-0.0068,-0.0839,-0.0162
26,-0.0382,-0.0057,-0.0845,-0.0174
27,-0.0355,-0.0034,-0.0799,-0.0253
29,0.0628,-0.0638,0.0108,-1e-04
31,-0.0513,0.0012,0.0899,-0.0158
32,-0.0488,0.002,0.0705,-0.0046
33,0.0617,0.1118,0.0011,-0.0276
34,0.0614,-0.0393,0.0091,0.0144
35,0.0659,-0.04,0.012,0.012
39,0.065,0.0522,0.0056,-0.0268
40,-0.035,-0.0015,-0.0166,0.0165
43,0.0592,-0.0714,0.0075,-0.005
44,0.061,0.0919,6e-04,-0.0337
45,-0.0105,0.0226,-0.0112,0.2634
46,-0.0374,-0.0058,-0.0824,-0.0201
49,0.0616,0.1075,0.0028,-0.0048
50,0.0637,0.1132,0.0042,-0.0266
51,-0.048,0.0018,0.0788,-0.0154
53,-0.004,0.0297,-0.0099,0.2707
55,-0.0318,0.0061,0.0236,0.0696
56,-0.0501,0.0016,0.08,-0.0158
57,0.0659,-0.0735,0.0108,-0.0023
58,0.0605,0.0997,0.0053,-0.015
59,-0.0348,-0.0034,-0.0545,0.0085
60,-0.041,-0.0029,0.0139,-0.0062
61,0.0664,-0.0739,0.0111,0.0011
65,-0.0382,-0.0058,-0.0844,-0.0174
67,-0.0456,0.0016,0.067,-0.0061
68,0.0243,-0.0482,-0.0246,-0.0108
69,-0.0369,-0.0058,-0.0817,-0.0179
70,-0.0358,-0.0055,-0.0814,-0.0198
71,0.0671,-0.0684,0.0126,0.0041
72,0.0552,-0.065,0.0096,-0.0032
73,-0.0356,-0.0034,-0.0804,-0.0248
74,0.0617,-0.0713,0.0091,-0.006
75,-0.0166,-0.0131,-0.051,0.0068
76,0.0653,-0.0801,0.013,-0.0052
77,0.0634,-0.048,0.0101,0.0019
78,0.0565,0.1034,0.0017,-0.0162
79,-0.0475,-1e-04,0.0504,-0.0262
80,0.0108,-0.0042,-0.0273,0.0664
81,0.0594,0.1056,-8e-04,-0.0301
83,-0.0496,0.0014,0.0749,-0.0124
84,-0.0344,-0.0038,-0.0622,0.0039
85,0.0625,0.0972,0.0031,-0.0089
87,-0.0343,-0.0013,-0.0177,0.0165
88,0.0518,0.0656,-0.0056,-0.0335
89,-0.0357,-0.003,-0.0716,-0.0167
92,-0.0364,-0.0056,-0.0799,-0.0134
93,-0.0097,0.0233,-0.0118,0.2684
94,-0.0507,9e-04,0.0874,-0.0141
96,-0.0355,-0.0015,-0.0332,0.0035
97,0.0631,-0.0644,0.0097,-0.0014
98,-0.03,-0.0066,-0.0643,-0.0129
99,-0.0366,-0.0037,-0.0767,-0.0133
100,-0.0434,-0.0029,-0.0024,-0.0257
101,-0.0326,-0.009,-0.0761,-0.0251
102,0.0612,-0.0731,0.0101,-0.0098
103,-0.0445,-0.0042,0.0759,-0.0125
105,0.0518,0.0653,-0.0062,-0.0318
106,0.0613,-0.0649,0.0114,-0.0206
107,-0.0375,-0.0058,-0.083,-0.0202
108,-0.0367,-0.0023,-0.0719,-0.0016
110,0.0672,-0.0461,0.0113,0.0098
113,-0.0468,0.0017,0.0686,-0.0021
114,-0.0418,-0.0053,-0.0221,-0.0289
115,-0.0399,0.0055,0.0439,0.0256
116,-0.0354,-0.0059,-0.0759,-0.0127
117,0.0676,-0.0732,0.0098,-0.0021
118,-0.0467,0.0039,0.0659,-0.0036
119,0.0503,-0.0601,0.0017,0.0027
120,-0.0353,-0.0052,-0.0797,-0.0183
121,-0.0419,0,0.0367,-0.0177
122,-0.0251,-0.009,-0.0503,0.0115
123,0.0661,-0.0738,0.0111,-0.0027
125,0.0679,-0.0712,0.0117,-5e-04
126,0.0554,-0.0567,0.0103,-0.005
128,-0.0464,-9e-04,0.0204,-0.029
129,0.0652,-0.073,0.0109,-0.0029
130,0.0661,-0.0736,0.0109,-0.0026
131,0.0586,0.101,0.0035,-0.0117
132,0.0633,-0.067,0.0049,-0.0079
134,-0.0463,-1e-04,0.0292,-0.0127
136,0.0653,-0.0629,0.0108,0.0018
137,0.0652,-0.0677,0.009,-0.0069
138,0.0648,-0.0385,0.0098,0.0125
139,-0.0297,-0.008,-0.0697,-0.0231
140,-0.0387,-0.0047,-0.0455,-0.0201
141,0.0635,-0.0587,0.0071,0.002
142,0.0563,-0.054,0.009,3e-04
143,-0.0512,0.0015,0.0915,-0.0154
144,-0.05,9e-04,0.0854,-0.0143
145,0.062,-0.0609,0.0038,-0.0089
146,0.0626,-0.0554,0.0126,-4e-04
147,-0.0355,-0.0041,-0.0676,-0.0187
148,0.0632,-0.0175,0.0075,0.0085
149,-0.0347,-0.0063,-0.0717,-0.0138
150,-0.0371,-0.0058,-0.0621,-0.0261
151,-0.0474,0.0025,0.0819,-0.0144
152,0.0591,0.1031,0.0012,-0.025
153,0.0583,0.0991,-1e-04,-0.0264
154,-0.0451,0.0021,0.0468,0.002
155,-0.0453,0.0022,0.058,0.001
156,0.0653,-0.0794,0.0074,-0.0029
157,-0.0486,-2e-04,0.0724,-0.0139
158,-0.0502,0.001,0.0852,-0.0159
160,-0.0106,0.0228,-0.0072,0.2394
161,0.0639,-0.07,0.0119,6e-04
162,0.0657,-0.0509,0.0124,0.0139
163,0.0578,-0.0551,0.0085,-1e-04
164,-0.0294,-0.0047,-0.0592,-0.0046
165,-0.0327,-0.0042,-0.0589,0.0032
166,0.0593,0.0033,0.0038,-0.0015
168,0.0616,9e-04,0.0048,-0.0058
171,0.065,-0.0675,0.0131,-0.0031
173,-0.0516,0.0011,0.0934,-0.0169
174,-0.035,-0.0021,-0.073,-0.0107
176,-0.0343,-0.0047,-0.0712,-0.0161
177,-0.0484,0.0011,0.061,-0.0205
178,0.0533,0.0625,-0.0032,-0.0273
179,-0.0494,0.0023,0.0822,-0.0095
180,-0.0507,0.0017,0.0864,-0.0137
181,-0.0503,0.0012,0.0833,-0.0135
182,-0.0449,-0.0032,-0.0131,-0.0311
183,-0.0383,-0.0048,-0.0799,-0.0183
184,-0.0448,8e-04,0.0298,0.0019
185,-0.036,-0.0072,-0.0833,-0.017
186,-0.0494,4e-04,0.0803,-0.0191
187,-0.037,-0.0085,-0.0601,-0.029
188,-0.0342,-0.0036,-0.0684,-0.01
189,0.0663,-0.069,0.0116,-5e-04
190,-0.0348,-0.0066,-0.0779,-0.0155
191,-0.0105,0.0227,-0.0115,0.2643
192,-0.0475,0.0016,0.0639,-0.0035
193,-0.0362,-0.0031,-0.0594,0.0066
194,0.014,0.0071,0.0094,0.0159
195,-0.0345,-0.0032,-0.0783,-0.0245
196,0.0633,-0.0635,0.0023,-0.0093
197,-0.0352,-0.0034,-0.0272,0.0117
198,-0.0239,0.0093,-0.0499,0.0112
199,-0.0355,-0.0034,-0.0746,-0.0122
200,0.0602,0.1074,0.0044,0.0015
201,-0.0369,-0.0023,-0.0705,-1e-04
202,-0.0379,-0.0054,-0.0808,-0.0204
203,0.0623,-0.0685,0.0094,-0.0062
205,-0.0447,8e-04,0.0234,-0.014
206,0.0595,2e-04,0.004,-0.0049
207,0.0654,-0.0589,0.0087,0.0034
208,0.065,-0.0683,0.0101,0.0035
209,0.0654,-0.0765,0.01,-0.0094
204,-0.0464,6e-04,0.0347,-0.0151
211,-0.0306,-0.0098,-0.0253,0.0022
212,-0.0375,-0.0057,-0.0829,-0.0171
213,-0.0367,-0.0066,-0.0724,-0.0192
214,-0.0333,-0.0074,-0.0827,-0.016
215,-0.0374,-0.0047,-0.0789,-0.017
217,-0.0343,-0.0058,-0.0165,-0.0199
218,-0.0423,-0.0012,-0.0094,-0.0138
219,-0.0455,0.0018,0.0466,-0.0042
220,-0.0446,0.0027,0.0549,0.0056
221,-0.0121,0.0248,0.0016,0.2114
222,0.0605,-0.0672,0.009,-0.003
223,-0.0362,-0.0059,-0.0837,-0.0176
224,-0.0444,0.0023,0.0598,0.002
225,-0.0422,0.001,0.0492,-0.0017
226,-0.0295,-0.0079,-0.0421,-0.0059
228,0.0595,0.1064,0.0023,-0.0255
232,-0.0489,0.0011,0.0751,-0.011
233,-0.0504,0.0017,0.0821,-0.0136
234,0.0676,-0.0758,0.0091,-0.0075
235,0.0675,-0.0734,0.0094,-0.001
236,-0.038,-0.0018,-0.003,-0.0033
237,-0.0383,-0.0027,0.0076,-0.0153
240,-0.0329,-0.0047,-0.0639,-0.0099
241,0.0581,-0.0635,0.0074,-0.0012
242,-0.0368,-0.0063,-0.0717,-0.0154
243,-0.0459,8e-04,0.0546,-0.0044
248,-0.0476,0.0016,0.0582,-0.0073
250,-0.0456,0.0019,0.0637,-0.0053
251,-0.0245,-0.0103,-0.0574,-0.0187
252,0.0551,-0.0408,0.0076,0.0084
254,0.0651,-0.0675,0.0104,-0.0043
255,0.0667,-0.0711,0.0078,-0.0064
257,-0.0411,0.0015,0.0424,-0.003
258,-0.033,-0.0052,-0.0672,-0.0058
259,0.0606,0.0114,0.0055,0.0165
261,0.0541,0.0973,0.0038,-0.0062
262,0.0558,0.0979,0.0012,-0.013
264,-0.0431,-8e-04,0.0143,-0.0164
266,-0.042,1e-04,0.0264,0.0054
267,-0.0502,0.0013,0.0802,-0.0128
268,-0.0448,0.0025,0.0561,0.0028
269,0.0407,-0.0505,0.0152,-0.0035
270,-0.0447,0.001,0.0279,-0.0149
271,-0.045,3e-04,0.0293,-0.0095
272,0.0173,-0.0048,-0.0333,0.0019
273,-0.0416,-0.003,-0.0323,-0.0162
274,-0.0335,-0.0033,-0.0668,-0.0083
275,-0.0462,0.0015,0.0747,-0.0092
276,0.049,0.0668,-7e-04,-0.0143
277,-0.0488,4e-04,0.0615,-0.0166
278,0.0099,-0.0419,0.0482,-0.0098
279,-0.0456,0.002,0.0582,0.0023
280,-0.043,-0.0037,-0.0341,-0.03
282,-0.0497,0.0027,0.0777,-0.0133
283,-0.0472,7e-04,0.0454,-0.0143
285,-0.0328,-0.003,-0.0725,-0.0154
286,-0.0229,-0.0159,-0.063,-0.0163
287,-0.0443,0.002,0.0617,0.0032
288,-0.0458,0.002,0.0607,0.0022
289,-0.0474,0.0034,0.0629,-0.0012
290,-0.0497,0.0016,0.0801,-0.0148
291,-0.0486,0.0017,0.0727,-0.0068
293,0.0573,0.0242,0.0046,0.018
296,-0.047,-4e-04,0.0493,-0.0138
297,-0.0487,3e-04,0.0617,-0.0168
298,0.0642,-0.057,0.0088,0.003
299,0.0683,-0.0778,0.0096,-0.0077
300,-0.0462,5e-04,0.0419,-0.0063
301,-0.0413,0.0046,0.0523,0.0175
302,-0.0427,0.0044,0.0522,0.0149
303,-0.0486,3e-04,0.0611,-0.0166
304,0.0639,-0.0643,0.0085,-0.0057
305,-0.0439,6e-04,0.0174,-0.0098
306,-0.0449,0.0024,0.0503,0.0028
308,-0.03,-0.0044,-0.0783,0.0303
309,-0.036,-0.0039,-0.0761,-0.0094
310,-0.0367,-0.0043,-0.0737,-0.0181
311,-0.0506,0.0013,0.0832,-0.0148
312,0.0633,0.1082,0.0035,-0.0049
313,0.0587,-0.0588,0.0034,0.003
314,0.0601,0.1095,0,-0.0376
315,0.0629,-0.0447,0.0014,-0.006
316,0.059,0.102,-3e-04,-0.0372
317,0.063,0.1162,0.0023,-0.0291
318,0.062,0.1117,0.0018,-0.036
320,0.0622,0.1069,0.0037,-0.0011
321,0.0626,0.1093,0.0015,-0.0395
323,0.052,0.0918,-0.0028,-0.0269
324,0.061,0.1072,0.0022,-0.0397
325,0.0664,-0.07,0.0095,-3e-04
328,0.0621,0.1068,0.004,-0.0071
329,0.062,0.1085,0.0028,-0.0272
330,0.0372,0.0923,-0.0079,0.013
331,0.0588,0.1048,2e-04,-0.0201
332,0.0589,0.0095,9e-04,0.0079
333,-0.0481,0.0017,0.0729,-0.0102
334,-0.0434,0.0014,0.0487,-0.0068
335,-0.0226,-0.0074,-0.0193,-0.0103
336,0.0565,0.1005,6e-04,-0.0371
337,0.06,-0.066,0.0096,-0.006
340,0.0259,0.0188,0.005,0.0793
341,0.055,0.0987,5e-04,-0.0161
343,-0.0469,0.0014,0.0283,-0.0135
344,0.002,0.0349,-0.0216,0.0887
345,0.0621,0.1142,0.0031,-0.0277
346,0.0532,0.0958,0.0017,-0.0148
347,-0.0313,-0.0061,-0.0689,-0.0175
348,0.0683,-0.078,0.0099,-0.0084
349,0.0605,-0.0652,0.0107,-0.0076
350,-0.0343,-0.0042,-0.06,0.0085
353,0.0603,0.1053,0.0013,-0.0246
355,-0.0451,0.0025,0.0657,-0.0011
356,0.0567,-0.0598,0.0085,-0.0078
357,0.0484,0.0631,0.0021,-0.0172
358,-0.0364,-5e-04,-0.0344,0.0113
359,0.0608,0.1098,0.0022,-0.0414
360,0.0535,0.0907,8e-04,-0.0237
361,-0.0483,-2e-04,0.0455,-0.025
363,-0.0464,0.001,0.0759,-0.011
364,-0.0287,-0.0071,-0.0191,0.0071
366,-0.0507,0.0012,0.0864,-0.0142
367,-0.034,-0.0079,-0.0248,0.001
368,-0.0475,0.0018,0.0687,-0.0012
369,0.062,0.1104,0.0021,-0.0185
370,0.0617,0.1122,0.0028,-0.0168
371,0.0599,0.1048,0.0047,-0.0183
372,0.0609,0.1064,9e-04,-0.0316
376,-0.0435,9e-04,0.0159,-0.0076
377,-0.0368,-0.0055,-0.0828,-0.0159
378,0.0392,0.0825,2e-04,0.0142
379,-0.0331,-0.0063,-0.0723,-0.0132
380,-0.0492,0.0012,0.0842,-0.0102
381,-0.0344,-0.0037,-0.0622,0.0039
384,-0.0359,-0.0059,-0.0814,-0.0175
385,0.0666,-0.0695,0.0142,-0.0031
386,-0.0427,-0.0044,-0.0385,-0.024
387,-0.037,-0.0052,0.0266,-0.0213
389,-0.0352,-0.0077,-0.0415,-0.0147
391,-0.0358,-0.0045,-0.0717,-0.0186
392,-0.04,-0.0049,-0.0619,-0.0159
394,-0.0416,-0.0023,-0.0344,-0.0182
395,-0.0363,-0.0033,-0.0763,-0.0107
396,-0.0312,-0.0073,-0.0726,-0.0105
398,0.0671,-0.0726,0.0107,-0.0044
399,-0.0262,-0.0093,-0.0667,-0.0177
400,0.0659,-0.0705,0.0098,-0.0035
616,0.0583,-0.0668,0.0052,-0.0042
619,-0.0249,-0.0114,-0.0617,-0.0162
621,-0.0295,-0.0081,-0.0808,-0.0186
622,-0.0371,-0.0087,-0.0135,-0.0345
628,-0.0265,-0.0105,-0.0642,-0.0157
12,-0.0028,0.0276,-0.013,0.2364
19,0.0617,0.0989,0.0035,-0.0229
30,0.0574,-0.0531,0.0071,-0.0015
36,-0.0472,0.0012,0.0487,-0.0154
52,-0.0385,4e-04,0.043,0.0068
54,-0.0356,-0.0062,-0.0739,-0.0163
104,-0.0492,0.0019,0.0728,-0.0093
159,0.0648,-0.0603,0.0127,0.0027
169,-0.0433,0.0018,0.0334,0.0112
170,-0.0282,-3e-04,-0.0722,-0.0129
172,0.0631,-0.0758,0.0086,-0.0031
229,-0.0381,-0.0057,-0.0844,-0.0173
245,-0.0446,0.0037,0.0546,0.0097
247,-0.0479,0.0031,0.0682,-0.0051
263,-0.0485,0.0031,0.0753,-0.0056
265,-0.0446,0.0018,0.0398,0.0021
281,-0.0474,0.001,0.0338,-0.0132
284,0.0676,-0.0624,0.0092,-0.0082
292,-0.0482,0.0024,0.0652,-0.0018
294,0.034,-0.0427,-0.0151,-0.0129
295,-0.0457,0.0017,0.0519,-0.0053
390,0.0088,-0.033,-0.0303,-0.0018
620,0.0684,-0.0721,0.0127,-0.0083
623,0.0648,-0.0768,0.0123,-0.0071
624,-0.0302,-0.0086,-0.0718,-0.0177
625,-0.0271,-0.0102,-0.0715,-0.0215
626,0.0689,-0.0623,0.0133,-0.0034
627,-0.0357,-0.0051,-0.0197,-0.0126
630,-0.0127,-0.0192,-0.0551,-0.0206
632,-0.0272,-0.0043,-0.0668,-0.0152
633,0.0556,-0.0502,0.0129,0.0057
634,0.0635,-0.0746,0.0148,-0.0073
244,-0.0194,-0.0131,-0.0023,0.0012
135,-0.0373,-0.0022,-0.0786,-0.0165
326,0.0568,0.0912,-7e-04,-0.0286
37,-0.0292,-0.0104,-0.0649,-0.0099
629,-0.0393,-0.0029,-0.0245,-0.0111
342,-0.0406,-0.0061,-0.0584,-0.0244
319,0.0646,0.1115,0.0031,-0.0341
90,0.0679,-0.0735,0.0101,-5e-04
327,0.0626,0.1074,0.0024,-0.0148
322,0.0625,0.1164,0.001,-0.0374
112,0.0068,0.0334,-0.0128,0.2284
231,0.0673,-0.0782,0.0123,-0.0073
227,0.0577,0.0281,0.0045,0.0223
167,-0.0354,-0.0073,-0.0745,-0.0199
253,-0.0398,-0.0038,-0.0216,-0.0155
246,0.0574,0.1056,0.002,-0.0219
239,-0.0333,-0.0044,-0.0669,-0.0092
397,-0.0294,-0.0079,-0.0681,-0.0094
618,-0.0367,-5e-04,-0.007,-0.0075
373,-0.0027,0.0278,-0.0125,0.2775
260,-0.0038,0.0237,-0.0086,0.1998
338,-0.0502,0.0021,0.0881,-0.0134
249,-0.023,-0.0093,0.0507,-0.0047
388,-0.037,-0.0079,0.0155,-0.0221
365,-0.0488,0.0024,0.0601,-0.0143
307,-0.0482,0.0027,0.0756,-0.0033
21,0.0646,-0.0654,0.0104,0.0023
256,-0.0451,0.0026,0.0668,0.0018
339,0.0676,-0.072,0.0119,-4e-04
133,-0.045,8e-04,0.0353,-7e-04
216,-0.0504,0.0017,0.0889,-0.0124
